food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
Grilled chicken with a side of steamed broccoli (rich in vitamin K),350,20,30,14,5,2500,35,50,6,100,0.5,0.6,8,0.7,300,5,8,120,150,350,60,5,35,40,5,Non-Vegetarian,Dinner,Female
"Vegetarianetable khichdi with moong dal, cumin, and minimal oil",280,50,12,7,8,5000,30,0,4,70,0.5,0.6,6,0.6,200,4,7,90,130,400,30,3,25,35,8,Vegetarian,Dinner,Female
Baingan bharta (roasted eggplant) with a side of bajra roti,300,45,6,10,9,10000,25,0,4,50,0.4,0.5,7,0.5,200,3,5,80,110,350,50,4,30,40,7,Vegetarian,Dinner,Female
"Oats porridge with berries, walnuts, and a drizzle of honey",300,40,8,12,6,3000,25,0,5,30,0.5,0.6,7,0.5,250,5,5,80,130,300,50,3,30,50,14,Vegetarian,Breakfast,Male
Moong dal chilla with tomato chutney (low salt),250,30,14,8,5,3000,35,0,2,20,0.4,0.5,6,0.4,200,4,7,90,120,350,30,3,20,25,5,Vegetarian,Breakfast,Male
Ragi porridge with a sprinkle of flaxseeds,250,40,8,6,6,2000,20,0,3,30,0.3,0.4,5,0.5,150,3,6,80,110,350,20,4,25,30,3,Vegetarian,Breakfast,Male
"Greek yogurt with chia seeds, blueberries, and almonds",300,20,15,16,6,5000,30,0,5,50,0.5,0.6,7,0.6,250,10,4,100,130,350,50,5,35,50,6,Vegetarian,Breakfast,Male
"Vegetarianetable poha with green peas, carrots, and a dash of turmeric",280,45,6,7,8,2000,35,0,2,40,0.4,0.5,6,0.5,150,4,6,70,100,350,20,4,15,20,5,Vegetarian,Breakfast,Male
Avocado on whole-grain toast with a pinch of black pepper,350,35,6,22,9,5000,25,0,5,20,0.3,0.4,6,0.6,200,10,4,60,70,350,10,2,35,40,1,Vegetarian,Breakfast,Male
"Masala oats with Vegies (tomato, spinach, carrots)",300,50,8,6,7,4000,40,0,4,50,0.4,0.5,6,0.5,200,5,7,80,100,400,20,3,30,35,5,Vegetarian,Breakfast,Male
"Smoothie with spinach, apple, banana, and flaxseeds",250,50,6,4,8,8000,50,0,4,60,0.3,0.4,6,0.6,200,4,5,90,120,400,30,4,20,25,7,Vegetarian,Breakfast,Male
Idli with mint-coriander chutney (low salt),200,35,6,4,5,2000,30,0,3,30,0.3,0.4,5,0.4,100,4,3,70,90,350,40,3,15,20,3,Vegetarian,Breakfast,Male
"Dalia (broken wheat) with Vegetables like beans, carrots, and peas",270,50,8,6,7,3000,30,0,3,50,0.4,0.5,6,0.5,200,5,5,80,100,350,20,4,20,25,5,Vegetarian,Breakfast,Male
Spinach and lentil dal with a side of brown rice,350,55,15,7,10,9000,25,0,4,70,0.5,0.6,6,0.5,250,5,6,80,130,400,20,3,25,30,5,Vegetarian,Lunch,Male
"Grilled fish with steamed Vegetables (broccoli, carrots, and zucchini)",300,20,30,12,6,10000,40,500,5,50,0.3,0.5,8,0.6,150,10,10,90,200,450,60,4,30,40,4,Non-Vegetarian,Lunch,Male
Mixed Vegetarianetable sabzi with a small portion of quinoa,350,50,12,10,7,5000,40,0,5,40,0.5,0.7,7,0.5,200,6,7,70,120,350,20,3,35,45,5,Vegetarian,Lunch,Male
Palak (spinach) and paneer curry (minimal oil) with whole-wheat roti,400,40,20,15,8,10000,35,0,4,70,0.6,0.7,6,0.7,250,8,8,100,180,400,50,5,30,40,7,Vegetarian,Lunch,Male
"Chickpea salad with cucumber, tomatoes, and a squeeze of lemon",250,30,12,9,8,5000,50,0,3,30,0.4,0.5,6,0.5,200,5,6,80,110,350,40,3,25,30,7,Vegetarian,Lunch,Male
Tofu and Vegetariangie stir-fry with a side of multigrain roti,350,40,18,14,8,7000,40,0,4,60,0.5,0.7,7,0.6,200,6,9,90,150,450,50,5,30,40,6,Vegetarian,Lunch,Male
Rajma (kidney bean) curry with red rice and a side of salad,400,60,18,7,10,4000,30,0,4,50,0.5,0.6,8,0.5,200,5,7,80,120,400,20,3,30,35,5,Vegetarian,Lunch,Male
Methi (fenugreek) dal with a small serving of brown rice,300,50,14,7,8,7000,25,0,3,60,0.5,0.6,7,0.5,200,5,6,70,100,350,20,3,25,30,4,Vegetarian,Lunch,Male
Vegetarianetable khichdi with moong dal and minimal spices,350,55,12,8,8,7000,30,0,3,60,0.4,0.5,6,0.5,200,5,6,80,110,350,20,4,25,35,5,Vegetarian,Lunch,Male
Mixed greens salad with olive oil and a sprinkle of sunflower seeds,300,15,8,20,5,5000,50,0,5,40,0.3,0.4,4,0.5,100,10,5,40,70,350,10,5,35,50,2,Vegetarian,Lunch,Male
Grilled salmon or fish with sautéed spinach and garlic,400,10,35,18,5,12000,40,600,6,60,0.3,0.4,7,0.6,200,10,5,100,200,450,60,5,150,200,3,Non-Vegetarian,Dinner,Male
"Vegetarianetable stew with carrots, beans, and zucchini",300,55,8,7,10,8000,40,0,5,70,0.5,0.6,6,0.5,200,5,6,80,120,350,20,3,20,40,6,Vegetarian,Dinner,Male
"Moong dal soup with a side of sautéed greens (spinach, kale)",350,45,15,9,8,9000,50,0,5,80,0.4,0.6,7,0.5,250,10,7,100,150,400,30,4,35,50,5,Vegetarian,Dinner,Male
Cabbage and carrot stir-fry with a side of baked sweet potato,350,55,8,12,9,6000,60,0,5,40,0.3,0.5,6,0.5,150,10,6,80,120,400,30,3,25,35,7,Vegetarian,Dinner,Male
Palak paneer (low oil) with one multigrain roti,400,40,20,18,8,10000,35,0,4,70,0.5,0.6,6,0.6,250,8,7,100,180,400,50,5,30,45,8,Vegetarian,Dinner,Male
Baked chicken breast with a side of steamed Vegetables,350,15,30,14,6,4000,60,500,5,50,0.3,0.5,7,0.6,150,10,10,90,200,450,60,4,30,40,4,Non-Vegetarian,Dinner,Male
Cauliflower and chickpea curry with a small portion of brown rice,350,50,15,8,9,6000,30,0,5,60,0.4,0.6,6,0.5,200,5,6,90,130,350,20,3,30,40,5,Vegetarian,Dinner,Male
Mixed Vegetarianetable soup with a pinch of turmeric and black pepper,250,40,10,5,10,7000,50,0,4,80,0.3,0.4,6,0.4,150,10,5,80,120,350,20,3,25,30,4,Vegetarian,Dinner,Male
Roasted pumpkin with a sprinkle of cumin and a side salad,300,40,6,10,8,10000,25,0,4,50,0.3,0.5,5,0.5,150,5,4,70,90,400,30,3,20,30,7,Vegetarian,Dinner,Male
Lightly sautéed tofu with bell peppers and asparagus,300,25,20,12,6,5000,50,0,5,60,0.4,0.6,8,0.7,200,8,6,70,150,350,40,3,30,35,4,Vegetarian,Dinner,Male
"Oats porridge with chia seeds, a few berries, and almonds",350,45,10,15,10,2000,15,0,5,15,0.5,0.6,5,0.5,150,10,6,80,120,400,20,4,70,110,7,Vegetarian,Breakfast,Female
Ragi dosa with a side of mint-coriander chutney,300,45,8,12,5,8000,30,0,5,60,0.3,0.5,6,0.4,200,5,4,60,100,350,10,3,15,30,4,Vegetarian,Breakfast,Female
"Greek yogurt parfait with chia seeds, strawberries, and walnuts",350,35,18,15,6,5000,30,0,5,10,0.3,0.5,7,0.4,200,15,7,90,150,350,30,5,50,70,5,Vegetarian,Breakfast,Female
Moong dal chilla with a side of tomato chutney,250,35,12,8,6,3000,25,0,4,40,0.4,0.5,6,0.3,150,10,5,70,100,250,20,2,25,35,4,Vegetarian,Breakfast,Female
Avocado toast with a sprinkle of flaxseeds,350,30,7,25,8,1000,10,0,5,30,0.4,0.5,5,0.4,100,15,2,150,120,450,40,5,150,200,2,Vegetarian,Breakfast,Female
"Vegetarianetable smoothie with spinach, apple, and a touch of ginger",250,40,4,8,7,8000,30,0,4,50,0.3,0.5,5,0.3,150,5,5,80,110,300,20,3,15,20,15,Vegetarian,Breakfast,Female
"Masala oats with sautéed spinach, tomatoes, and a pinch of cumin",300,45,10,9,8,5000,40,0,5,60,0.3,0.5,6,0.5,200,10,6,100,150,400,30,4,20,30,5,Vegetarian,Breakfast,Female
"Dalia (broken wheat) with mixed Vegetables (carrots, beans)",300,55,8,7,9,6000,35,0,5,70,0.4,0.6,6,0.4,150,10,6,80,120,350,20,3,25,40,6,Vegetarian,Breakfast,Female
Idli with sambhar and minimal salt,200,40,8,5,7,4000,30,0,4,50,0.3,0.5,6,0.5,150,10,4,70,100,300,30,3,20,30,2,Vegetarian,Breakfast,Female
"Quinoa bowl with cucumbers, tomatoes, and a few almonds",350,40,12,15,7,3000,30,0,5,20,0.3,0.5,6,0.4,200,15,6,80,120,350,20,4,30,40,4,Vegetarian,Breakfast,Female
Spinach and moong dal with a small portion of brown rice,350,50,15,6,8,7000,40,0,5,60,0.4,0.5,5,0.4,250,12,4,70,120,350,20,3,20,40,5,Vegetarian,Lunch,Female
Mixed Vegetarianetable curry with tofu and one multigrain roti,400,50,20,12,10,4000,35,0,6,50,0.5,0.5,7,0.6,250,20,7,90,150,350,30,4,50,70,6,Vegetarian,Lunch,Female
"Sautéed paneer with bell peppers, mushrooms, and a side of salad",350,15,20,18,5,3000,30,0,7,40,0.4,0.6,6,0.5,300,15,6,150,200,350,40,3,40,50,4,Vegetarian,Lunch,Female
Chickpea curry with a small serving of red rice,400,60,15,9,9,2000,35,0,4,50,0.3,0.5,6,0.5,200,15,5,80,120,450,25,3,25,40,8,Vegetarian,Lunch,Female
Grilled salmon with a side of steamed Vegetables,450,20,30,25,7,5000,50,500,10,30,0.3,0.5,6,0.4,300,10,6,50,100,600,70,4,500,200,2,Non-Vegetarian,Lunch,Female
Tofu and Vegetariangie stir-fry with a sprinkle of flaxseeds,350,30,20,18,8,2000,35,0,5,50,0.5,0.5,6,0.5,250,20,6,100,150,350,25,4,25,30,3,Vegetarian,Lunch,Female
Methi (fenugreek) dal with a small portion of brown rice,350,55,12,7,8,6000,30,0,5,60,0.4,0.5,6,0.4,250,12,5,70,110,300,20,3,25,35,4,Vegetarian,Lunch,Female
Palak (spinach) and potato curry with a side of quinoa,400,55,15,10,10,5000,40,0,6,70,0.5,0.6,7,0.5,300,20,6,80,120,400,30,4,40,50,5,Vegetarian,Lunch,Female
"Mixed greens salad with olive oil, cucumber, and tomatoes",250,15,5,20,6,4000,60,0,5,80,0.3,0.5,5,0.4,150,10,3,40,80,300,10,3,15,30,3,Vegetarian,Lunch,Female
Mixed Vegetarianetable stew with a side of multigrain roti,350,55,10,10,10,3000,40,0,6,50,0.4,0.5,5,0.4,200,15,6,80,120,350,30,4,25,35,6,Vegetarian,Lunch,Female
Baked fish with a side of sautéed leafy greens,400,20,35,20,6,7000,50,500,10,30,0.3,0.5,6,0.4,300,30,7,150,200,550,70,4,500,150,3,Non-Vegetarian,Dinner,Female
Lentil soup with a small portion of brown rice and a side of salad,350,50,18,7,9,2000,40,0,5,50,0.3,0.5,6,0.5,250,15,5,70,120,300,20,3,25,30,4,Vegetarian,Dinner,Female
"Vegetarianetable stir-fry with bell peppers, broccoli, and tofu",350,30,20,18,8,2500,60,0,6,50,0.5,0.5,6,0.5,250,30,6,80,150,400,30,4,50,100,3,Vegetarian,Dinner,Female
Moong dal khichdi with a sprinkle of black pepper and cumin,350,55,15,6,8,3000,30,0,5,60,0.4,0.5,5,0.4,250,20,6,90,130,350,25,3,30,40,5,Vegetarian,Dinner,Female
Grilled chicken breast with a side of steamed broccoli and carrots,400,20,35,20,6,5000,70,500,7,40,0.3,0.5,6,0.4,350,30,7,150,220,550,80,3,450,200,4,Non-Vegetarian,Dinner,Female
"Vegetarianetable stew with zucchini, carrots, and beans",350,45,12,6,9,3000,60,0,4,50,0.4,0.5,5,0.5,200,15,6,70,100,350,30,4,25,30,4,Vegetarian,Dinner,Female
Spinach and chickpea curry with one whole-wheat roti,400,50,18,12,10,5000,50,0,6,60,0.5,0.6,6,0.5,300,20,6,100,150,400,30,4,50,60,5,Vegetarian,Dinner,Female
Cabbage and green peas curry with a small portion of brown rice,350,55,10,7,9,3000,50,0,5,50,0.3,0.5,6,0.4,250,15,6,80,120,350,20,3,30,40,4,Vegetarian,Dinner,Female
Lightly seasoned roasted sweet potatoes with mixed green salad,350,45,7,15,9,8000,50,0,5,60,0.4,0.5,5,0.4,250,10,3,50,80,400,20,3,20,30,7,Vegetarian,Dinner,Female
Mixed Vegetarianetable soup with a side of baked sweet potato,350,45,8,7,9,8000,60,0,5,70,0.4,0.5,5,0.4,250,15,4,60,100,350,30,3,25,30,6,Vegetarian,Dinner,Female
"Turmeric and ginger smoothie with pineapple, spinach, and chia seeds",300,50,5,10,6,5000,70,0,5,60,0.3,0.4,5,0.5,250,30,7,90,130,400,50,4,500,300,10,Vegetarian,Breakfast,Male
Amla (Indian gooseberry) juice with a side of boiled eggs,200,20,13,12,3,5000,30,0,6,50,0.3,0.4,3,0.4,200,70,5,50,100,350,50,4,350,150,3,Non-Vegetarian,Breakfast,Male
"Ragi porridge with almond milk, chia seeds, and a few chopped almonds",350,40,12,18,8,7000,30,0,4,40,0.5,0.6,6,0.5,250,20,7,100,120,400,30,3,50,200,5,Vegetarian,Breakfast,Male
Moong dal chilla with a side of mint-coriander chutney,300,40,15,7,6,3000,50,0,5,50,0.4,0.5,5,0.5,200,30,6,80,100,350,30,4,30,40,4,Vegetarian,Breakfast,Male
"Oats with flaxseeds, topped with fresh fruits like oranges and berries",350,50,10,8,7,3000,60,0,5,60,0.4,0.5,5,0.4,250,20,5,70,130,350,25,4,50,100,5,Vegetarian,Breakfast,Male
"Greek yogurt parfait with honey, walnuts, and blueberries (probiotic-rich)",350,40,15,18,6,1000,30,0,5,30,0.3,0.4,6,0.5,200,60,7,100,200,400,50,4,50,150,12,Vegetarian,Breakfast,Male
"Vegetarianetable poha with curry leaves, turmeric, and peanuts",300,40,8,14,6,2000,50,0,4,40,0.4,0.5,5,0.5,250,20,6,80,100,350,30,3,50,100,5,Vegetarian,Breakfast,Male
Idli with turmeric sambhar and coconut chutney,300,50,10,7,6,5000,60,0,5,70,0.3,0.5,5,0.5,250,15,6,70,120,350,30,3,25,40,7,Vegetarian,Breakfast,Male
"Vegetarianetable upma with grated ginger, green chilies, and cashews",350,50,10,12,6,3000,50,0,5,60,0.4,0.5,5,0.5,250,20,6,80,120,350,30,3,50,60,6,Vegetarian,Breakfast,Male
"Chia pudding with almond milk, a few dates, and fresh berries",350,40,10,15,8,3000,60,0,5,50,0.4,0.5,5,0.5,250,20,7,100,150,400,30,3,50,100,8,Vegetarian,Breakfast,Male
Spinach and chickpea curry with one whole-wheat roti,350,50,15,10,12,8000,60,0,4,40,0.3,0.5,6,0.6,250,40,6,120,150,400,50,5,100,150,5,Vegetarian,Lunch,Male
"Mixed Vegetarianetable stew with zucchini, carrots, turmeric, and ginger",300,40,6,12,8,9000,90,0,5,60,0.3,0.4,5,0.5,200,30,7,80,120,350,40,4,50,100,8,Vegetarian,Lunch,Male
Dal palak (spinach dal) with brown rice and a squeeze of lemon,350,50,14,8,10,7000,60,0,5,50,0.3,0.4,5,0.5,250,30,7,80,120,350,40,3,70,100,5,Vegetarian,Lunch,Male
"Grilled fish with a side of sautéed greens (spinach, kale) and garlic",400,20,30,18,6,5000,70,0,6,60,0.3,0.5,5,0.6,200,70,7,90,150,450,50,6,50,200,8,Non-Vegetarian,Lunch,Male
Rajma (kidney bean) curry with a small portion of quinoa,400,50,18,12,12,4000,30,0,5,40,0.3,0.5,5,0.5,250,30,6,100,150,400,50,5,50,100,5,Vegetarian,Lunch,Male
"Mixed greens salad with cucumber, carrots, bell peppers, and sunflower seeds",250,20,5,20,7,4000,100,0,6,50,0.4,0.5,5,0.5,150,30,4,50,80,300,10,5,50,100,5,Vegetarian,Lunch,Male
"Tofu stir-fry with broccoli, bell peppers, and sesame seeds",350,30,18,16,6,4000,80,0,5,50,0.3,0.5,6,0.6,200,50,7,100,120,400,30,5,100,200,7,Vegetarian,Lunch,Male
"Vegetarianetable khichdi with turmeric, cumin, and a side of raita",350,50,12,10,8,5000,50,0,4,60,0.3,0.5,5,0.5,250,40,6,80,120,350,50,4,50,150,5,Vegetarian,Lunch,Male
Cauliflower and green peas curry with one multigrain roti,350,50,15,8,10,5000,60,0,4,50,0.3,0.5,5,0.5,250,40,6,80,120,350,50,5,60,100,6,Vegetarian,Lunch,Male
"Sprouted moong dal salad with tomatoes, cucumber, and lemon",250,30,15,6,8,2000,60,0,3,40,0.3,0.4,4,0.4,200,20,5,70,100,350,30,4,20,60,4,Vegetarian,Lunch,Male
Tomato and lentil soup with a sprinkle of black pepper and cumin,250,35,15,7,8,4000,30,0,3,20,0.3,0.4,4,0.4,150,20,6,70,100,350,30,4,30,50,5,Vegetarian,Dinner,Male
"Vegetarianetable stew with sweet potatoes, turmeric, and green beans",300,50,7,9,10,12000,70,0,5,40,0.3,0.4,5,0.5,250,40,7,90,120,400,30,5,50,100,6,Vegetarian,Dinner,Male
Palak paneer (spinach with cottage cheese) with a side of roti,400,30,22,18,8,10000,50,0,6,80,0.4,0.5,8,0.6,300,70,5,150,200,500,60,5,150,200,8,Non-Vegetarian,Dinner,Male
Methi (fenugreek) dal with brown rice and a side salad,350,50,12,9,10,5000,60,0,4,50,0.3,0.5,6,0.5,250,40,7,80,100,350,40,5,60,100,6,Vegetarian,Dinner,Male
"Grilled chicken with turmeric and garlic seasoning, served with steamed broccoli",400,20,35,18,6,4000,80,0,5,70,0.3,0.5,6,0.6,300,70,6,90,150,450,50,6,100,200,7,Non-Vegetarian,Dinner,Male
Mixed Vegetarianetable soup with a pinch of ginger and black pepper,250,35,8,6,8,3000,50,0,4,30,0.3,0.4,4,0.5,200,30,5,60,80,300,40,5,40,70,4,Vegetarian,Dinner,Male
Baked sweet potato with a side of sautéed leafy greens,300,40,7,10,8,12000,70,0,5,50,0.4,0.5,5,0.6,200,50,6,80,100,400,30,5,60,100,8,Vegetarian,Dinner,Male
Mushroom and broccoli stir-fry with a sprinkle of flaxseeds,300,30,12,14,8,3000,60,0,5,50,0.3,0.5,6,0.6,250,30,7,80,100,350,40,6,100,200,7,Vegetarian,Dinner,Male
Tofu curry with bell peppers and spinach with a small portion of red rice,350,45,18,10,10,4000,80,0,4,40,0.3,0.5,5,0.5,250,40,7,100,120,400,50,5,80,150,8,Vegetarian,Dinner,Male
Mixed dal khichdi with a side of cucumber-tomato salad,350,50,14,9,8,4000,50,0,5,40,0.3,0.4,5,0.5,250,40,6,70,100,350,40,4,50,100,5,Vegetarian,Dinner,Male
Turmeric latte with almond milk and a sprinkle of black pepper,150,15,3,10,2,2000,5,0,3,0,0.1,0.2,0.5,0.2,50,10,2,50,70,200,50,1,50,100,5,Vegetarian,Breakfast,Female
"Greek yogurt with amla powder, chia seeds, and a few pomegranate seeds",220,25,10,8,5,2000,25,0,3,10,0.2,0.4,2,0.4,150,10,0.5,80,120,400,40,2,150,300,8,Vegetarian,Breakfast,Female
"Ragi porridge with almond milk and crushed nuts (almonds, walnuts)",300,35,8,15,6,2000,10,0,5,10,0.2,0.5,3,0.4,150,2,1.5,70,90,350,50,3,100,150,5,Vegetarian,Breakfast,Female
"Vegetarianetable smoothie with spinach, ginger, pineapple, and turmeric",200,40,5,3,8,8000,40,0,2,40,0.3,0.4,5,0.5,300,10,3,60,90,350,30,5,50,80,12,Vegetarian,Breakfast,Female
"Oats with fresh berries, flaxseeds, and a drizzle of honey",250,40,6,7,8,4000,35,0,4,15,0.3,0.5,5,0.5,100,15,1,70,100,350,40,4,100,200,8,Vegetarian,Breakfast,Female
"Chia pudding with almond milk, dates, and seasonal berries",300,40,6,15,8,2000,25,0,3,10,0.2,0.4,3,0.4,150,10,2,60,90,300,30,4,200,250,10,Vegetarian,Breakfast,Female
Moong dal chilla with a side of tomato chutney,250,30,12,6,6,3000,15,0,2,20,0.3,0.5,4,0.4,100,20,2,50,80,350,20,3,60,150,7,Vegetarian,Breakfast,Female
Idli with turmeric sambhar and coconut chutney,300,50,8,10,7,4000,40,0,4,15,0.3,0.4,5,0.4,200,15,1,60,100,400,40,3,80,150,6,Vegetarian,Breakfast,Female
Upma with green peas and grated ginger for an immunity boost,250,35,6,8,6,2000,30,0,4,20,0.3,0.4,3,0.4,150,10,1,60,90,350,30,3,70,120,7,Vegetarian,Breakfast,Female
"Fruit salad with orange, kiwi, and a handful of almonds",220,30,5,10,5,2000,70,0,4,20,0.2,0.5,3,0.4,100,10,1,60,80,300,30,4,80,150,10,Vegetarian,Breakfast,Female
Spinach and moong dal curry with brown rice,350,55,14,7,12,8000,35,0,2,80,0.3,0.4,2,0.5,200,20,3,90,110,400,50,5,50,150,8,Vegetarian,Lunch,Female
"Mixed Vegetarianetable stir-fry with tofu, bell peppers, and garlic",250,25,15,14,7,2000,40,0,4,15,0.2,0.3,3,0.5,200,20,2,80,110,350,30,4,50,120,6,Vegetarian,Lunch,Female
"Rajma (kidney bean) salad with tomatoes, cucumber, and a sprinkle of flaxseeds",350,50,15,8,12,3000,30,0,3,10,0.3,0.5,4,0.4,150,25,2,60,100,400,20,5,100,250,10,Vegetarian,Lunch,Female
Grilled fish with a side of turmeric-seasoned Vegetables,350,15,25,20,6,2000,20,200,2,20,0.3,0.4,4,0.3,150,60,1.5,80,150,400,30,10,150,200,5,Non-Vegetarian,Lunch,Female
Palak (spinach) dal with one multigrain roti,300,45,12,10,8,4000,40,0,4,50,0.2,0.3,3,0.5,150,10,2,70,100,350,50,4,60,150,7,Vegetarian,Lunch,Female
"Chickpea salad with cucumber, tomatoes, and bell peppers",250,35,12,8,10,2000,40,0,3,15,0.2,0.3,3,0.4,150,25,3,70,80,300,40,5,60,100,5,Vegetarian,Lunch,Female
"Vegetarianetable khichdi with cumin, ginger, and turmeric",300,45,8,7,9,3000,35,0,3,20,0.2,0.3,3,0.4,200,30,2,70,80,350,40,4,80,120,6,Vegetarian,Lunch,Female
Sautéed leafy greens with a handful of pumpkin seeds,200,15,7,14,6,4000,25,0,5,20,0.3,0.5,4,0.4,150,20,1.5,60,80,300,30,5,150,250,5,Vegetarian,Lunch,Female
Methi (fenugreek) sabzi with a small portion of brown rice,250,40,10,7,8,3000,30,0,4,20,0.2,0.3,3,0.4,150,20,2,60,90,350,40,4,60,150,7,Vegetarian,Lunch,Female
"Lentil soup with carrots, spinach, and a pinch of black pepper",250,40,12,6,8,3000,35,0,4,20,0.3,0.4,4,0.5,150,20,2,70,100,350,30,4,80,150,6,Vegetarian,Lunch,Female
Ginger and carrot soup with a sprinkle of black pepper,180,35,5,3,6,"10,000",40,0,1,20,0.1,0.1,1,0.2,150,20,2,60,60,300,30,1,0,50,10,Vegetarian,Dinner,Female
"Vegetarianetable stew with zucchini, carrots, turmeric, and cumin",250,40,8,6,10,"8,000",50,0,3,30,0.2,0.3,2,0.4,200,15,3,80,90,350,40,4,0,100,6,Vegetarian,Dinner,Female
Grilled tofu and bell pepper stir-fry with a side of quinoa,350,45,20,15,7,"2,000",50,0,4,40,0.3,0.5,3,0.6,200,25,4,100,150,400,30,5,150,250,8,Vegetarian,Dinner,Female
"Mixed greens salad with cucumbers, pomegranate, and walnuts",250,20,5,15,6,"8,000",40,0,5,30,0.3,0.4,2,0.5,150,20,2,60,90,350,30,5,0,50,10,Vegetarian,Dinner,Female
Moong dal and spinach soup with a side of roasted Vegetables,300,40,15,8,10,"8,000",40,0,3,40,0.2,0.3,3,0.4,200,25,3,70,120,350,40,4,50,100,6,Vegetarian,Dinner,Female
"Grilled chicken with garlic and turmeric, served with steamed broccoli",350,15,30,15,5,"3,000",100,250,2,30,0.3,0.4,4,0.5,200,60,2,90,180,400,60,10,100,200,5,Non-Vegetarian,Dinner,Female
Sweet potato and spinach stir-fry with a pinch of sesame seeds,280,45,6,8,7,"12,000",40,0,2,50,0.2,0.3,2,0.4,150,25,3,70,100,350,40,5,50,150,8,Vegetarian,Dinner,Female
Mushroom and green pea curry with a side of multigrain roti,320,40,12,10,9,"2,000",30,0,4,40,0.3,0.4,3,0.5,200,30,3,80,120,350,50,4,60,200,7,Vegetarian,Dinner,Female
Cabbage and bell pepper stir-fry with a side of red rice,280,45,8,6,7,"5,000",60,0,2,40,0.2,0.3,2,0.4,150,25,2,60,100,350,40,4,50,100,6,Vegetarian,Dinner,Female
Broccoli and tofu stir-fry with garlic and a sprinkle of black sesame seeds,300,25,20,15,7,"2,000",60,0,4,50,0.3,0.4,4,0.5,200,30,4,100,150,400,30,5,150,250,8,Vegetarian,Dinner,Female
Amla smoothie with honey and chia seeds,180,40,2,4,7,"50,000",50,0,1,20,0.1,0.2,1,0.3,150,15,2,60,70,350,20,1,200,100,5,Vegetarian,Breakfast,Male
"Ragi porridge with almond milk, walnuts, and flaxseeds",250,40,6,12,8,"10,000",10,0,3,30,0.2,0.3,2,0.5,200,25,3,80,90,400,50,5,150,200,7,Vegetarian,Breakfast,Male
"Greek yogurt with chia seeds, pomegranate, and a drizzle of honey",220,25,15,8,5,0,15,0,2,20,0.2,0.4,3,0.6,150,30,4,100,120,300,40,4,50,100,8,Vegetarian,Breakfast,Male
"Oats with berries, almond butter, and flaxseeds",290,35,9,14,7,"2,000",15,0,4,30,0.3,0.5,4,0.7,250,35,4,120,140,400,50,5,100,250,6,Vegetarian,Breakfast,Male
"Vegetarianetable poha with curry leaves, peas, and turmeric",220,40,6,5,5,"6,000",50,0,1,30,0.3,0.3,2,0.4,150,20,2,60,80,350,40,4,30,100,6,Vegetarian,Breakfast,Male
Avocado toast with a sprinkle of sesame seeds,300,30,6,20,10,"1,000",10,0,5,50,0.3,0.4,2,0.5,250,35,3,80,150,400,50,5,50,200,1,Vegetarian,Breakfast,Male
Idli with coconut chutney,180,35,5,7,4,500,10,0,3,20,0.1,0.2,1,0.2,100,25,2,40,60,200,20,4,10,50,5,Vegetarian,Breakfast,Male
"Vegetarianetable upma with carrots, beans, and cashews",250,45,6,8,6,"5,000",20,0,2,30,0.2,0.3,2,0.4,150,30,3,70,90,350,40,5,30,100,6,Vegetarian,Breakfast,Male
"Smoothie with papaya, pineapple, and a handful of spinach",180,35,3,2,6,"10,000",90,0,1,50,0.2,0.3,1,0.3,150,15,2,50,80,300,30,3,10,50,7,Vegetarian,Breakfast,Male
"Chia pudding made with almond milk, topped with fresh fruit",250,30,6,15,9,500,30,0,4,40,0.3,0.4,3,0.6,200,25,3,100,120,400,50,5,100,200,8,Vegetarian,Breakfast,Male
Lentil soup with spinach and quinoa,280,40,15,8,11,"10,000",30,0,3,40,0.3,0.5,3,0.6,200,35,4,90,120,500,30,5,70,120,6,Vegetarian,Lunch,Male
Grilled fish with sautéed greens,350,20,30,15,5,"2,000",20,500,2,30,0.2,0.3,4,0.6,150,45,5,120,180,400,50,2,300,200,1,Non-Vegetarian,Lunch,Male
Palak and moong dal curry with brown rice,280,45,15,6,10,"10,000",40,0,3,50,0.3,0.4,2,0.5,250,30,3,80,100,350,50,3,50,150,6,Vegetarian,Lunch,Male
"Chickpea salad with cucumber, tomatoes, and olive oil",220,30,10,10,8,500,30,0,2,20,0.2,0.3,3,0.4,200,25,4,70,80,350,40,3,50,120,7,Vegetarian,Lunch,Male
"Vegetarianetable khichdi with turmeric, ginger, and raita",300,50,10,7,8,"5,000",25,0,1,30,0.3,0.5,3,0.6,200,40,5,80,100,400,50,4,30,100,8,Vegetarian,Lunch,Male
Methi leaves paratha with yogurt,280,45,8,12,6,"3,000",25,0,3,20,0.2,0.3,2,0.5,200,30,3,70,100,350,40,3,50,150,5,Vegetarian,Lunch,Male
